epoch,loss,tf.__operators__.getitem_1_loss,tf.__operators__.getitem_loss,val_acc_en_id,val_acc_id_en,val_avg_acc,val_loss,val_tf.__operators__.getitem_1_loss,val_tf.__operators__.getitem_loss
0,0.05128750577569008,0.029434187337756157,0.02185337245464325,0.9208984375,0.90107421875,0.910986328125,0.04265962541103363,0.02546975389122963,0.017189871519804
1,0.048877764493227005,0.028262699022889137,0.02061503939330578,0.9240234375,0.90439453125,0.9142089843750001,0.0400083102285862,0.024187063798308372,0.015821244567632675
2,0.04561331868171692,0.026656659319996834,0.018956657499074936,0.92548828125,0.90517578125,0.91533203125,0.03737034276127815,0.022880973294377327,0.014489367604255676
3,0.042493220418691635,0.025121023878455162,0.017372209578752518,0.92734375,0.90810546875,0.917724609375,0.03513495251536369,0.021782811731100082,0.013352145440876484
4,0.04043040797114372,0.024095309898257256,0.016335051506757736,0.92734375,0.9083984375,0.9178710937500001,0.03393890708684921,0.02119489386677742,0.012744012288749218
5,0.039108678698539734,0.023430686444044113,0.015678001567721367,0.9275390625,0.90849609375,0.918017578125,0.03304300084710121,0.020735714584589005,0.012307283468544483
6,0.03826159983873367,0.02300015464425087,0.01526150107383728,0.92763671875,0.9095703125,0.918603515625,0.03241568058729172,0.02041342295706272,0.012002261355519295
7,0.037444379180669785,0.022585494443774223,0.014858889393508434,0.9294921875,0.91142578125,0.920458984375,0.03182775527238846,0.020112453028559685,0.011715302243828773
8,0.03694308549165726,0.02232939936220646,0.014613626524806023,0.92939453125,0.9138671875,0.921630859375,0.03154383972287178,0.019976256415247917,0.011567577719688416
9,0.036458250135183334,0.022078756242990494,0.014379557222127914,0.92919921875,0.912890625,0.921044921875,0.03103555366396904,0.019700471311807632,0.011335079558193684
